"YearsCodePro","ConvertedCompYearly","EdLevel","Country"
2,145000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,180000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,113000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
5,185000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,110000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,110000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,104750,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,140000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,125000,"Some college/university study without earning a degree","United States of America"
6,160000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,123141,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,70000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
18,170000,"Associate degree (A.A., A.S., etc.)","United States of America"
0.5,80000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,102000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
4,110000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
7,260,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,115000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,83000,"Associate degree (A.A., A.S., etc.)","United States of America"
4,128000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,165000,"Some college/university study without earning a degree","United States of America"
12,222000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,90000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,105000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
0.5,65000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,165000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
0.5,74000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,205000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
10,151000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,180000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,160000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
6,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
20,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,275000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,163500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
28,250000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,207000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
13,190000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,175000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,65000,"Some college/university study without earning a degree","United States of America"
11,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,160000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
0.5,95000,"Some college/university study without earning a degree","United States of America"
16,195000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,62000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,185000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,68000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,130000,"Some college/university study without earning a degree","United States of America"
5,2e+05,"Some college/university study without earning a degree","United States of America"
4,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,60000,"Some college/university study without earning a degree","United States of America"
10,70000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
42,180000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
2,130000,"Primary/elementary school","United States of America"
6,177000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
10,165000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,151992,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
38,105000,"Some college/university study without earning a degree","United States of America"
1,110000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
13,73000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,135000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
